iter	Passed	Remaining
900	1445	158
901	1447	157
902	1448	155
903	1449	153
904	1450	152
905	1451	150
906	1453	149
907	1455	147
908	1456	145
909	1458	144
910	1459	142
911	1460	140
912	1461	139
913	1462	137
914	1463	135
915	1464	134
916	1466	132
917	1468	131
918	1469	129
919	1470	127
920	1471	126
921	1472	124
922	1473	122
923	1474	121
924	1475	119
925	1476	117
926	1478	116
927	1480	114
928	1481	113
929	1482	111
930	1483	109
931	1484	108
932	1485	106
933	1486	105
934	1487	103
935	1488	101
936	1489	100
937	1490	98
938	1492	96
939	1493	95
940	1494	93
941	1495	92
942	1496	90
943	1497	88
944	1498	87
945	1500	85
946	1501	84
947	1501	82
948	1503	80
949	1505	79
950	1506	77
951	1507	76
952	1508	74
953	1509	72
954	1510	71
955	1511	69
956	1512	67
957	1513	66
958	1514	64
959	1516	63
960	1518	61
961	1519	60
962	1520	58
963	1521	56
964	1522	55
965	1523	53
966	1524	52
967	1525	50
968	1525	48
969	1526	47
970	1528	45
971	1530	44
972	1531	42
973	1532	40
974	1533	39
975	1534	37
976	1535	36
977	1536	34
978	1537	32
979	1537	31
980	1538	29
981	1540	28
982	1543	26
983	1544	25
984	1545	23
985	1546	21
986	1547	20
987	1548	18
988	1549	17
989	1550	15
990	1551	14
991	1552	12
992	1554	10
993	1556	9
994	1557	7
995	1558	6
996	1559	4
997	1560	3
998	1561	1
999	1562	0
